Latitude (decimal degrees):	53.367
Longitude (decimal degrees):	7.206
Elevation (m):	7
Radiation database:	PVGIS-SARAH3


Slope: 23 deg. 
Azimuth: -10 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,15.26,10.14,0.0
20230101:0111,0.0,0.0,0.0,14.94,9.66,0.0
20230101:0211,0.0,0.0,0.0,14.39,8.9,0.0
20230101:0311,0.0,0.0,0.0,14.17,8.28,0.0
20230101:0411,0.0,0.0,0.0,13.59,8.14,0.0
20230101:0511,0.0,0.0,0.0,12.7,8.21,0.0
20230101:0611,0.0,0.0,0.0,12.16,8.14,0.0
20230101:0711,0.0,0.0,0.0,12.71,8.34,0.0
20230101:0811,0.82,7.74,1.89,12.23,8.0,0.0
20230101:0911,13.2,28.07,7.55,11.98,7.59,0.0
20230101:1011,137.68,175.28,11.51,12.06,7.24,0.0
20230101:1111,400.83,472.43,13.45,12.17,7.52,0.0
20230101:1211,290.55,347.27,13.21,12.2,7.52,0.0
20230101:1311,58.78,85.46,10.81,12.24,7.31,0.0
20230101:1411,35.01,57.44,6.45,12.04,6.83,0.0
20230101:1511,0.0,0.0,0.0,11.63,6.0,0.0
20230101:1611,0.0,0.0,0.0,11.31,4.9,0.0
20230101:1711,0.0,0.0,0.0,11.1,4.48,0.0
20230101:1811,0.0,0.0,0.0,10.97,4.48,0.0
20230101:1911,0.0,0.0,0.0,10.6,4.28,0.0
20230101:2011,0.0,0.0,0.0,10.69,4.14,0.0
20230101:2111,0.0,0.0,0.0,10.55,3.72,0.0
20230101:2211,0.0,0.0,0.0,10.27,3.31,0.0
20230101:2311,0.0,0.0,0.0,10.18,3.03,0.0
20230102:0011,0.0,0.0,0.0,10.14,3.24,0.0
20230102:0111,0.0,0.0,0.0,10.28,3.52,0.0
20230102:0211,0.0,0.0,0.0,10.77,4.34,0.0
20230102:0311,0.0,0.0,0.0,11.31,5.03,0.0
20230102:0411,0.0,0.0,0.0,11.59,5.52,0.0
20230102:0511,0.0,0.0,0.0,11.72,5.79,0.0
20230102:0611,0.0,0.0,0.0,11.72,5.72,0.0
20230102:0711,0.0,0.0,0.0,11.52,6.14,0.0
20230102:0811,0.0,1.94,1.91,10.83,5.24,0.0
20230102:0911,14.73,30.01,7.59,9.91,5.17,0.0
20230102:1011,70.45,97.85,11.57,9.11,4.48,0.0
20230102:1111,55.41,80.4,13.53,8.78,3.86,0.0
20230102:1211,324.76,384.63,13.31,8.89,3.66,0.0
20230102:1311,19.11,35.81,10.92,9.07,5.1,0.0
20230102:1411,10.68,24.2,6.57,8.99,4.76,0.0
20230102:1511,0.0,0.0,0.0,8.77,5.1,0.0
20230102:1611,0.0,0.0,0.0,8.12,4.97,0.0
20230102:1711,0.0,0.0,0.0,7.74,4.55,0.0
20230102:1811,0.0,0.0,0.0,7.49,4.41,0.0
20230102:1911,0.0,0.0,0.0,6.96,4.14,0.0
20230102:2011,0.0,0.0,0.0,6.35,3.93,0.0
20230102:2111,0.0,0.0,0.0,6.1,3.93,0.0
20230102:2211,0.0,0.0,0.0,5.8,3.79,0.0
20230102:2311,0.0,0.0,0.0,5.68,3.66,0.0
20230103:0011,0.0,0.0,0.0,5.46,3.59,0.0
20230103:0111,0.0,0.0,0.0,5.19,3.38,0.0
20230103:0211,0.0,0.0,0.0,5.02,3.17,0.0
20230103:0311,0.0,0.0,0.0,4.75,2.97,0.0
20230103:0411,0.0,0.0,0.0,4.2,2.83,0.0
20230103:0511,0.0,0.0,0.0,3.89,2.97,0.0
